"","ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification","Site"
"663","CTC_1513","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","1-33%",NA,8404.46,3002.84,14.5,39.5,29.70000076,"Multidirectional","Castelcivita"
"664","CTC_1515","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","0%",NA,3863.88,1750.5,35.29999924,17.20000076,17.10000038,"Bipolar","Castelcivita"
"665","CTC_1517","Artec.Spider","rsa'","Fine-grained chert","Blank","Flake","Maintenance","0%","Complete",5352.82,2816.65,57.40000153,28.20000076,9.100000381,NA,"Castelcivita"
"666","CTC_154","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",118.17,278.99,23.70000076,7.800000191,1.899999976,NA,"Castelcivita"
"667","CTC_16","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","0%",NA,8063.12,2528.3,21.20000076,31.5,27.70000076,"Semi-circumferential","Castelcivita"
"668","CTC_1660","Artec.Spider","ars","Fine-grained chert","Core","Other","Other","0%",NA,2838.38,1459.52,32,19,15,"Bipolar","Castelcivita"
"669","CTC_17","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","33-66%",NA,17951.14,4546.39,48.59999847,43.09999847,23.60000038,"Multidirectional","Castelcivita"
"670","CTC_1766","Artec.Spider","rsa'","Fine-grained chert","Tool","Flake","Optimal","0%","Distal",4092.07,2278.51,49.70000076,22.5,8.899999619,NA,"Castelcivita"
"671","CTC_18","Artec.Spider","rsa'","Coarse-grained chert","Core","Other","Other","33-66%",NA,27746.82,5529.33,50.20000076,39.90000153,34.59999847,"Multi-platform","Castelcivita"
"672","CTC_1845","Artec.Micro","gic","Fine-grained chert","Tool","Bladelet","Maintenance","0%","Complete",44.92,128.79,11.5,7.599999905,1.100000024,NA,"Castelcivita"
"673","CTC_1846","Artec.Micro","gic","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",10.54,39.28,7.5,2.5,0.899999976,NA,"Castelcivita"
"674","CTC_1847","Artec.Micro","gic","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",18.67,66.49,9.100000381,3.799999952,1,NA,"Castelcivita"
