ID,unit,unit.extended,square,sub.square,raw.material,raw.material.extended,termal.alteration,frost.alteration,patina,cortex,cortex.position,cortical.surface,class,laminar.y.n,carinated,classification.1,classification.2,classification.3,classification.4,length,width,thickness,volume,surface,flaking.surface.length,flaking.surface.width,core.blank,blank.production,platforms.number,surfaces.number,flaking.surface.scars.count,platform.scars.count,scar.count.total,blade.removals.number,bladelet.removals.number,flake.removals.number,initial.preparation,back,flaking.surface,reduction.pattern,flaking.surface.profile,flaking.surface.2.profile,last.removal,second.last.removal,last.removal.second.surface,second.last.removal.second.surface,second.flaking.surface.length,second.flaking.surface.width,last.removal.length,last.removal.width,second.removal.length,second.removal.width,last.removal.length.second.surface,last.removal.width.second.surface,second.last.removal.length.second.surface,second.last.removal.width.second.surface,profile.last.removal,profile.second.removal,profile.last.removal.second.surface,profile.second.last.removal.second.surface,last.removal.orientation,second.removal.orientation,last.removal.orientation.second.surface,second.last.removal.orientation.second.surface,distal.end.last.removal,distal.end.second.removal,distal.end.last.removal.second.surface,distal.end.second.last.removal.second.surface,striking.angle.meshlab,striking.angle.visual,second.striking.angle.visual,striking.platform,platform.ridge.preparation,second.striking.platform,second.platform.ridge.preparation,flaking.surface.maintenance,maintenance.removal.location,lateral.maintenance,lateral.maintenance.orientation,core.axis,discard,VRM.generations.number.length.base,VRM.generations.number.length.platform,VRM.generations.number.width,VRM.generations.number.thickness,mesh
RF.c_10,A2,A2,pre.80,NA,Scaglia.Variegata,SV3,NA,NA,NA,33-66%,Lateral right,1802.57,Core,Yes,FALSE,Narrow-sided,Narrow-sided,Narrow-sided,Platform,53,24,47.70000076,25815.7207,5558.284382,46.40000153,18.39999962,Slab,Bladelet,1,1,5,2,7,0,3,NA,Shaping-out,Natural,Unidirectional,Convergent,Straight,NA,Bladelet,Bladelet,NA,NA,NA,NA,33.79999924,7,44.79999924,8.300000191,NA,NA,NA,NA,Straight,Straight,NA,NA,Axial,Axial,NA,NA,Convergent,Convergent,NA,NA,88,80,NA,Plain,Abraded,NA,NA,NA,NA,NA,NA,Maggiore lunghezza,Undetermined,NA,NA,NA,NA,Yes
RF.c_100,A2,A2,110,NA,Scaglia.Rossa,SR,NA,NA,NA,33-66%,Lateral left;Lateral right,793.97,Core,Yes,FALSE,Narrow-sided,Narrow-sided,Narrow-sided,Platform,43.5,28.60000038,37.79999924,18328.44727,3963.030052,42.59999847,28.60000038,Nodule,Bladelet,1,1,9,3,12,0,3,0,NA,Prepared,Unidirectional,Sub-parallel,Convex,NA,Bladelet,NA,NA,NA,NA,NA,38.40000153,8.899999619,NA,NA,NA,NA,NA,NA,Curved,NA,NA,NA,Axial,NA,NA,NA,Straight,NA,NA,NA,92,76,NA,Reshaped (tablet visible),None,NA,NA,NA,NA,Flake,Left oblique,Maggiore lunghezza,Hinged scars,0,1,1,4,Yes
RF.c_101,A2,A2tetto,135,NA,Maiolica,NA,NA,NA,NA,0%,NA,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,27,21,11.60000038,NA,NA,NA,NA,Undetermined,Bladelet,1,1,NA,NA,NA,0,2,0,NA,Undetermined,Unidirectional,Sub-parallel,Straight,NA,Bladelet,NA,Bladelet,NA,NA,NA,NA,NA,NA,NA,15.60000038,7.199999809,NA,NA,NA,NA,Slightly curved,NA,NA,NA,Axial,NA,Irregular,NA,NA,NA,NA,60,67,Plain,Abraded,Plain,Abraded,NA,NA,NA,NA,NA,Undetermined,NA,NA,NA,NA,No
RF.c_102,A1,A1tetto,72,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Back,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,39.79999924,25.39999962,13.10000038,NA,NA,NA,NA,Undetermined,Undetermined,2,1,NA,NA,NA,0,0,0,Indetermined,Natural,Bidirectional,Undetermined,Straight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
RF.c_103,A2R,A2R,138,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,0,Core,Yes,FALSE,Initial,Initial,"Initial, narrow-sided",Platform,61.79999924,25,38,17576.25586,4525.710648,50,25,Flake,Bladelet,1,1,8,1,9,0,1,1,NA,Prepared,Unidirectional,Sub-parallel,Convex,NA,Bladelet,NA,NA,NA,NA,NA,22,11,NA,NA,NA,NA,NA,NA,Slightly curved,NA,NA,NA,Axial,NA,NA,NA,Hinged,NA,NA,NA,74,60,NA,Plain,None,NA,NA,NA,NA,NA,NA,Maggiore lunghezza,Hinged scars,0,1,2,2,Yes
RF.c_104,A2,A2,125,NA,Maiolica,B2-4,NA,NA,NA,66-99%,Back,941.7,Core,Yes,FALSE,Initial,Initial,"Initial, semi-circumferential",Platform,39,24.79999924,15.5,7408.543457,2449.235157,39,24.79999924,Nodule,Blade-Flake,1,1,12,3,15,0,NA,2,Primary flaking,Cortical,Unidirectional,Sub-parallel,Straight,NA,Flake,Flake,NA,NA,NA,NA,21.20000076,11,34.20000076,17.70000076,NA,NA,NA,NA,Straight,Straight,NA,NA,Axial,Axial,NA,NA,Hinged,Hinged,NA,NA,78,69,NA,Plain,None,NA,NA,NA,NA,Flake,Left perpendicular,Maggiore lunghezza,Hinged scars,1,1,1,1,Yes
RF.c_105,A2,A2,101,NA,Maiolica,NA,NA,NA,NA,0%,NA,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,44.79999924,42.40000153,29.29999924,NA,NA,NA,NA,Undetermined,Flake,NA,NA,NA,NA,NA,NA,NA,3,NA,Scars,Multidirectional,NA,NA,NA,Flake,NA,NA,NA,NA,NA,23.70000076,20.29999924,NA,NA,NA,NA,NA,NA,Straight,NA,NA,NA,Axial,NA,NA,NA,Irregular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA,NA,NA,NA,No
RF.c_106,A2,A2,101,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,NA,Core,No,FALSE,Flake,Multidirectional,NA,NA,30.20000076,33.29999924,18,NA,NA,NA,NA,Undetermined,Flake,NA,NA,NA,NA,NA,NA,NA,5,NA,2 exploited faces,Multidirectional,NA,NA,NA,Flake,NA,NA,NA,NA,NA,36.70000076,28.5,31.39999962,19.5,NA,NA,NA,NA,Curved,Curved,NA,NA,Axial,Off-axis left,NA,NA,Plunging,Irregular,NA,NA,NA,NA,NA,Reshaped (tablet visible),None,NA,NA,NA,NA,NA,NA,NA,Undetermined,0,0,1,3,No
RF.c_107,A2,A2,125,NA,Maiolica,NA,NA,NA,NA,0%,NA,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,30.2,33.3,18,NA,NA,NA,NA,Undetermined,Undetermined,NA,NA,NA,NA,NA,NA,NA,1,NA,Undetermined,Undetermined,NA,NA,NA,Flake,NA,NA,NA,NA,NA,31.70000076,23.29999924,NA,NA,NA,NA,NA,NA,Inverse curvature,NA,NA,NA,Axial,NA,NA,NA,Straight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,0,2,2,2,No
RF.c_108,A2,A2,53,NA,Scaglia.Rossa,SR,NA,NA,NA,33-66%,Back,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,56.59999847,23.29999924,30,NA,NA,NA,NA,Flake,Undetermined,NA,NA,NA,NA,NA,0,0,0,NA,Cortical,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA,NA,NA,NA,No
