ID,volume,surface,mesh
RF.b_5250,1975.487305,1790.988606,Yes
RF.b_5254,259.3564453,430.7289169,Yes
RF.b_5256,216.7451782,386.9517637,Yes
RF.b_5257,200.8290558,379.1235464,Yes
RF.b_5262,927.3712769,1168.194021,Yes
RF.b_5267,1043.705444,984.0488843,Yes
RF.b_5268,2919.570801,1900.608583,Yes
RF.b_5269,1022.52478,1016.318327,Yes
RF.b_5270,395.0470886,620.1305378,Yes
RF.b_5272,209.7249756,432.4535287,Yes
RF.b_5273,256.9665527,476.342416,Yes
RF.b_5275,1117.775757,1039.750174,Yes
RF.b_5278,262.8930664,482.526278,Yes
RF.b_5279,115.8159256,268.8202095,Yes
RF.b_528,4656.687012,2209.347762,Yes
RF.b_5280,108.1389542,248.1589208,Yes
RF.b_5281,208.6555786,366.8996079,Yes
RF.b_5283,303.3772583,433.1843094,Yes
RF.b_5284,687.8583984,736.6262127,Yes
RF.b_5285,1058.846802,858.5475833,Yes
RF.b_5290,1084.817505,1229.466468,Yes
RF.b_5296,332.2600403,518.6509266,Yes
RF.b_5297,759.104126,1008.088138,Yes
RF.b_5298,2485.851563,2016.673459,Yes
RF.b_5299,291.8830566,493.6287077,Yes
RF.b_5300,484.7982788,657.088443,Yes
RF.b_5301,49.46025848,123.7075195,Yes
RF.b_5302,6062.045898,3439.184628,Yes
RF.b_5308,1001.480591,1071.86057,Yes
RF.b_5309,134.5565796,270.3804456,Yes
RF.b_531,379.1433716,586.4249484,Yes
RF.b_5311,277.8546143,550.2174616,Yes
RF.b_5313,1513.35791,1386.694659,Yes
RF.b_5318,225.442276,394.1540733,Yes
RF.b_5320,273.802124,461.3246088,Yes
RF.b_5321,487.0284729,723.0770126,Yes
RF.b_5325,985.9850464,1255.650106,Yes
RF.b_5331,934.1105957,865.4337577,Yes
RF.b_5334,923.3621216,872.1924229,Yes
RF.b_5337,822.1379395,972.4481281,Yes
RF.b_5338,1509.844849,1138.53207,Yes
RF.b_5342,1766.453125,1697.849247,Yes
RF.b_5343,741.1288452,975.8595999,Yes
RF.b_5344,512.414856,674.7914623,Yes
RF.b_5345,2990.190186,1749.829331,Yes
RF.b_5348,202.7810211,330.9424028,Yes
RF.b_5349,159.9949799,321.537974,Yes
RF.b_5350,59.64554977,135.6809064,Yes
RF.b_5351,165.872757,313.7901319,Yes
RF.b_5353,1031.631836,1086.668417,Yes
RF.b_5354,502.2204285,727.7334781,Yes
RF.b_5356,1128.710327,1136.44246,Yes
RF.b_5357,960.7306519,932.976258,Yes
RF.b_5358,134.0289307,373.2708476,Yes
RF.b_5359,58.40380096,154.014659,Yes
RF.b_5361,1408.762817,1086.898403,Yes
RF.b_5366,938.4008179,1189.192465,Yes
RF.b_5373,472.1514893,542.1596803,Yes
RF.b_5378,112.8071136,222.2275659,Yes
RF.b_5379,317.867157,478.751439,Yes
RF.b_5380,1518.197021,1320.294062,Yes
RF.b_5382,765.6421509,899.107468,Yes
RF.b_5383,92.49933624,194.913184,Yes
RF.b_5384,4407.65625,2541.844504,Yes
RF.b_5396,1726.017212,1554.750199,Yes
RF.b_5411,2772.952148,2134.088612,Yes
RF.b_5413,374.5057068,485.2096182,Yes
RF.b_5415,157.8524628,267.9753503,Yes
RF.b_5416,1652.37085,1262.89449,Yes
RF.b_5419,312.3168335,450.631143,Yes
RF.b_5420,1385.252808,1332.134285,Yes
RF.b_5456,2430.836426,1703.935393,Yes
RF.b_5458,3151.279785,2127.203505,Yes
RF.b_5460,772.4931641,816.7347521,Yes
RF.b_5462,740.6122437,735.9892351,Yes
RF.b_5463,519.9707031,791.1048536,Yes
RF.b_5464,214.6231232,322.8434877,Yes
RF.b_5465,44.46791458,111.1374452,Yes
RF.b_5466,199.7577209,402.4828477,Yes
RF.b_5467,84.27235413,185.1638505,Yes
RF.b_5469,395.025116,486.1653159,Yes
RF.b_5470,161.9200745,301.7384535,Yes
RF.b_5472,402.0776672,528.9068583,Yes
RF.b_5473,564.5974121,734.838897,Yes
RF.b_5475,64.34391785,151.7555256,Yes
RF.b_5476,121.8058243,235.6232137,Yes
RF.b_5478,1268.799194,1226.669209,Yes
RF.b_5480,70.94858551,163.2912953,Yes
RF.b_5481,306.750885,468.6732186,Yes
RF.b_5482,77.38493347,163.4484444,Yes
RF.b_5484,63.41295242,129.8155667,Yes
RF.b_5486,184.6285706,266.3070817,Yes
RF.b_5488,2006.991455,1484.830783,Yes
RF.b_5490,634.0341797,778.0058695,Yes
RF.b_5492,28.01882935,93.74730657,Yes
RF.b_5493,2147.844727,1673.014444,Yes
RF.b_5494,1020.677002,1016.878909,Yes
RF.b_5495,595.0846558,759.1433207,Yes
RF.b_5496,461.0859985,608.6745183,Yes
RF.b_5497,115.8695145,307.6019418,Yes
RF.b_5498,46.90842056,126.8308665,Yes
RF.b_5499,81.77817535,217.4735784,Yes
RF.b_5500,168.5626984,435.5933457,Yes
RF.b_5501,20.57387161,86.23819404,Yes
RF.b_5503,580.5105591,702.3582678,Yes
RF.b_5504,111.3837051,240.0334356,Yes
RF.b_5516,284.6568604,415.2605698,Yes
RF.b_5518,938.0982666,882.4078163,Yes
RF.b_5555,6082.918945,3767.61381,Yes
RF.b_5664,1967.928711,1381.831931,Yes
RF.b_5717,989.0651855,1084.09717,Yes
RF.b_5725,1286.183228,1369.99816,Yes
RF.b_5726,1853.093628,1453.997521,Yes
RF.b_5727,1496.26416,1527.36069,Yes
RF.b_5729,145.7488251,264.8010669,Yes
RF.b_5730,2463.503418,1796.125873,Yes
RF.b_5731,161.936554,329.1238957,Yes
RF.b_5735,381.9609375,523.6583535,Yes
RF.b_5737,594.0046997,614.9389348,Yes
RF.b_5739,521.8945923,621.0840206,Yes
RF.b_5740,231.6075592,405.7142142,Yes
RF.b_5741,242.9797668,365.7755585,Yes
RF.b_5748,211.8426819,406.5417517,Yes
RF.b_5749,132.2207336,261.1678898,Yes
RF.b_5750,638.3240967,814.3418321,Yes
RF.b_5751,660.5697021,794.7679843,Yes
RF.b_5752,192.6381683,300.9545876,Yes
RF.b_5754,288.5879822,466.1562725,Yes
RF.b_5757,2763.690918,2157.175534,Yes
RF.b_5758,2300.946777,1744.56739,Yes
RF.b_5760,5497.190918,2780.223233,Yes
RF.b_5761,221.347702,320.2488372,Yes
RF.b_5762,175.6455078,298.3249014,Yes
RF.b_5763,42.49824905,126.0765551,Yes
RF.b_5764,997.8718872,1087.17523,Yes
RF.b_5767,309.5727844,504.8442624,Yes
RF.b_5768,4556.283203,3369.984922,Yes
RF.b_5771,202.2144775,378.1182986,Yes
RF.b_5773,2047.895508,1576.434829,Yes
RF.b_5774,655.2803345,821.4193283,Yes
RF.b_5777,7412.408203,3508.804368,Yes
RF.b_5779,289.8380127,527.1514975,Yes
RF.b_5782,582.3300171,645.1501804,Yes
RF.b_5783,747.8914795,940.1390284,Yes
RF.b_5784,4686.705566,3294.627531,Yes
RF.b_5785,1929.302612,1719.597945,Yes
RF.b_5786,680.0079956,837.4433548,Yes
RF.b_5788,492.8203125,471.2409608,Yes
RF.b_5790,1607.146851,1598.737918,Yes
RF.b_5791,94.23767853,196.9871726,Yes
RF.b_5793,1140.28125,1020.625917,Yes
RF.b_5798,201.2212524,357.5247068,Yes
RF.b_5799,327.5716248,522.6668597,Yes
RF.b_5805,464.9133606,596.6072365,Yes
RF.b_5807,438.1116638,485.764184,Yes
RF.b_5808,414.602478,626.5557737,Yes
RF.b_5809,1020.393799,940.6413538,Yes
RF.b_5814,270.82724,443.2918036,Yes
RF.b_5819,1108.022949,1383.313616,Yes
RF.b_5821,743.2337036,905.4639915,Yes
RF.b_5823,424.3170776,486.076334,Yes
RF.b_5824,769.7226563,818.126818,Yes
RF.b_5825,388.7535706,509.9294134,Yes
RF.b_5827,1030.480835,890.6437211,Yes
RF.b_5828,350.3811646,565.5489442,Yes
RF.b_5831,3218.502197,2175.302406,Yes
RF.b_5832,300.3388367,513.8530726,Yes
RF.b_5833,255.6017609,478.9737553,Yes
RF.b_5834,225.4714966,392.3765909,Yes
RF.b_5835,671.3532715,888.0555362,Yes
RF.b_5837,230.791687,354.8212501,Yes
RF.b_5843,383.536499,603.1586605,Yes
RF.b_5844,141.915802,305.4115605,Yes
RF.b_5849,296.144043,457.8589169,Yes
RF.b_585,1112.260376,1036.078468,Yes
RF.b_5850,242.9908295,487.2093179,Yes
RF.b_5851,402.9666138,553.0264306,Yes
RF.b_5852,45.51450729,137.2056383,Yes
RF.b_5856,466.229126,621.5539019,Yes
RF.b_5857,152.8347168,308.7622936,Yes
RF.b_5859,281.4916077,492.0283612,Yes
RF.b_5861,761.7537842,748.5447371,Yes
RF.b_5862,268.1852722,379.8722571,Yes
RF.b_5863,158.3734436,307.4479708,Yes
RF.b_5865,162.7036896,287.8625611,Yes
RF.b_5872,311.7401428,563.5522748,Yes
RF.b_5873,649.4855347,852.6431461,Yes
RF.b_5875,818.2387085,937.8437004,Yes
RF.b_5877,1225.082031,1230.51605,Yes
RF.b_5878,1165.553345,1095.264768,Yes
RF.b_5879,1863.156128,1546.329557,Yes
RF.b_5881,2461.501465,1736.771497,Yes
RF.b_5883,1278.202271,1101.233783,Yes
RF.b_5885,522.742981,695.3412858,Yes
RF.b_5887,338.0691833,606.0027019,Yes
RF.b_5888,423.932251,621.0382647,Yes
RF.b_5889,265.0973816,511.4810177,Yes
RF.b_5890,389.2588196,610.4160461,Yes
RF.b_5893,1275.782593,1266.942448,Yes
RF.b_5897,1342.75769,1223.245604,Yes
RF.b_5898,1497.386597,1235.733931,Yes
RF.b_5900,3572.767334,2527.817401,Yes
RF.b_5901,977.2409668,1033.603731,Yes
RF.b_5902,1034.549194,975.7982045,Yes
RF.b_5903,986.9683228,1122.666869,Yes
RF.b_5904,88.53616333,239.3678545,Yes
RF.b_5905,967.3740234,1160.291258,Yes
RF.b_5906,1197.103882,1229.002438,Yes
RF.b_5907,44.74224854,135.0181487,Yes
RF.b_5908,402.422699,809.7549952,Yes
RF.b_5909,2071.390137,1700.548455,Yes
RF.b_5910,2236.800293,1720.456889,Yes
RF.b_5912,1639.816284,1865.304565,Yes
RF.b_5913,1018.313416,1159.540681,Yes
RF.b_5914,2350.606689,2423.014199,Yes
RF.b_5915,618.9384766,843.0892058,Yes
RF.b_5916,511.8908081,786.8868349,Yes
RF.b_5917,377.0090027,516.2775049,Yes
RF.b_5918,137.6138,291.2827914,Yes
RF.b_5925,965.5414429,1000.22192,Yes
RF.b_5927,1332.509644,1141.715714,Yes
RF.b_5928,2451.142822,2375.570872,Yes
RF.b_5931,128.2507172,299.8927039,Yes
RF.b_5932,100.7540588,214.5549756,Yes
RF.b_5935,187.2123413,318.6233485,Yes
RF.b_5937,151.124176,277.5300978,Yes
RF.b_5939,69.67436218,162.0393622,Yes
RF.b_5941,765.8476563,980.622769,Yes
RF.b_5942,238.9724579,360.2341208,Yes
RF.b_5943,2501.721436,1759.170359,Yes
RF.b_5945,218.8844604,393.7603498,Yes
RF.b_5946,146.5361481,302.6413639,Yes
RF.b_5950,876.6553345,972.8094336,Yes
RF.b_5952,1210.075317,1491.476784,Yes
RF.b_5954,899.409729,1185.277702,Yes
RF.b_6050,7645.431641,3986.779301,Yes
RF.b_6070,514.9523926,689.5668511,Yes
RF.b_6071,242.4141998,415.5152732,Yes
RF.b_6073,111.4274597,221.415442,Yes
RF.b_6074,326.5064087,492.8777931,Yes
RF.b_6077,967.1069336,996.8776442,Yes
RF.b_6084,378.1202087,659.3831281,Yes
RF.b_6085,121.1960449,217.4881043,Yes
RF.b_6086,1079.37561,1097.07035,Yes
RF.b_6091,24.12597275,88.63389829,Yes
RF.b_6093,53.23657608,149.3480718,Yes
RF.b_6095,33.86136627,110.7719207,Yes
RF.b_6097,118.8015594,221.9797164,Yes
RF.b_6098,46.78040314,130.0302992,Yes
RF.b_6145,902.6420898,1019.784479,Yes
RF.b_6146,868.267395,980.2078954,Yes
RF.b_6157,841.0997314,1094.793824,Yes
RF.b_6158,354.0403748,571.9506652,Yes
RF.b_6159,44.18579865,159.5468654,Yes
RF.b_6160,202.8720398,306.7689994,Yes
RF.b_6165,250.8510284,497.2842804,Yes
RF.b_6166,381.13974,671.5288298,Yes
RF.b_6168,304.6483154,525.0964468,Yes
RF.b_6170,178.5332642,421.9530507,Yes
RF.b_6171,114.2833862,248.2546838,Yes
RF.b_6174,49.46178055,136.1162867,Yes
RF.b_6175,82.53881073,180.2075561,Yes
RF.b_6176,91.90274811,252.1691707,Yes
RF.b_6186,82.89996338,202.7440259,Yes
RF.b_6202,620.6634521,710.9643415,Yes
RF.b_6294,13395.54102,3532.109112,Yes
RF.b_6295,11614.08984,3375.474977,Yes
RF.b_6303,6790.408203,2150.126707,Yes
RF.b_6335,1168.22168,1230.50781,Yes
RF.b_6348,4218.400879,2828.411408,Yes
RF.b_6387,7520.760254,3404.461959,Yes
RF.b_6388,342.3427124,466.5455075,Yes
RF.b_6401,1667.338623,1453.89969,Yes
RF.b_6418,2344.14917,1656.380499,Yes
RF.b_6422,2709.190674,1899.299267,Yes
RF.b_6430,1127.958984,1199.177932,Yes
RF.b_6617,302.3623352,436.287665,Yes
RF.b_6626,2536.067383,2385.089504,Yes
