ID,Scanner,Spit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
Ca_61,Artec.Spider,AU11,Jasper,Core-Tool,Flake,Optimal,0%,Complete,1764.635864,1110.239861,28.5,21.60000038,7.300000191,Carinated
Ca_62,Artec.Spider,AU11,Jasper,Tool,Flake,Initialization,100%,Distal,1457.750366,934.1412908,22.5,21.10000038,7,NA
Ca_63,Artec.Spider,AU11,Chert,Tool,Blade,Optimal,0%,Distal,489.1698608,611.5868911,27,13.30000019,3.400000095,NA
Ca_64,Artec.Spider,AU11,Jasper,Tool,Flake,Optimal,0%,Complete,1996.01355,1000.051467,21,21.10000038,9.199999809,NA
Ca_65,Artec.Spider,AU11,Chert,Core,Flake,Optimal,0%,Complete,1910.140747,944.2394196,21,22.5,11.10000038,Parallel
Ca_66,Artec.Spider,AU11,Chert,Tool,Flake,Optimal,0%,Complete,1321.31665,835.4291162,27,16.5,6.800000191,NA
Ca_67,Artec.Spider,AU11,Jasper,Tool,Flake,Maintenance,33-66%,Complete,2071.760254,1229.312087,30.79999924,16.70000076,7.900000095,NA
Ca_68,Artec.Spider,AU11,Jasper,Tool,Flake,Maintenance,1-33%,Complete,1445.804932,1093.668587,29.29999924,19.20000076,7,NA
Ca_69,Artec.Spider,AU11,Chert,Tool,Flake,Optimal,0%,Complete,1080.040161,735.2788479,22.10000038,17.79999924,8,NA
Ca_70,Artec.Spider,AU11,Chert,Tool,Flake,Optimal,0%,Complete,2034.780273,1117.503726,28,22.10000038,9.699999809,NA
Ca_71,Artec.Spider,AU11,Quartzite,Core-Tool,Flake,Optimal,0%,Proximal,2143.388672,1068.201113,23,20.89999962,10.30000019,Carinated
Ca_72,Artec.Spider,AU11,Chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,2845.151855,1423.020761,31.79999924,22.60000038,11.60000038,Carinated
Ca_73,Artec.Spider,AU11,Chert,Tool,Flake,Maintenance,0%,Distal,2818.978516,1377.960339,32.59999847,20.60000038,8.800000191,NA
Ca_74,Artec.Spider,AU11,Jasper,Core-Tool,Flake,Initialization,0%,Complete,2178.646973,1187.071468,26.29999924,20.20000076,9.600000381,Carinated
Ca_75,Artec.Spider,AU11,Chert,Core-Tool,Flake,Optimal,0%,Undetermined,2244.62915,1152.99157,14.10000038,26.5,23.20000076,Carinated
Ca_76,Artec.Spider,AU11,Chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,988.8093262,624.6381165,20.39999962,14.80000019,8,Carinated
Ca_77,Artec.Spider,AU11,Chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,2448.207031,1205.083067,10,19,103,Carinated
Ca_78,Artec.Spider,AU13,Chert,Core,Other,Other,33-66%,Other,8926.757813,2659.186232,33.40000153,26.89999962,22.10000038,Burin core
Ca_79,Artec.Spider,AU13,Jasper,Core-Tool,Other,Other,66-99%,Other,3850.567627,1451.610071,18.5,21.89999962,26,Carinated
Ca_80,Artec.Spider,AU13,Chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,5119.748047,1984.42605,18.20000076,25.10000038,38.79999924,Carinated
Ca_81,Artec.Spider,AU13,Chert,Core-Tool,Flake,Semi-cortical,33-66%,Complete,5363.375977,1976.380932,20.5,23.60000038,30.70000076,Carinated
Ca_82,Artec.Spider,AU13,Chert,Tool,Flake,Semi-cortical,33-66%,Distal,4453.740234,1858.429332,39,21.39999962,11,NA
Ca_83,Artec.Spider,AU13,Jasper,Tool,Flake,Semi-cortical,33-66%,Complete,2756.799316,1361.57911,27.10000038,26.10000038,8.199999809,NA
Ca_84,Artec.Spider,AU13,Jasper,Tool,Flake,Maintenance,0%,Complete,1825.859009,1222.097051,25.29999924,24.79999924,7.300000191,NA
