ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
CTC_50,Castelcivita,gic,Fine-grained chert,Core-Tool,Flake,Maintenance,Carinated,0%,Complete,8403.6,2629.01,18.39999962,32.29999924,36.59999847,CTC_50.ply,1 unit = 1mm,500000,0.116314,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_51,Castelcivita,gic,Fine-grained chert,Core-Tool,Flake,Optimal,Carinated,0%,Complete,5706.39,2166.43,38.20000076,29.5,14.5,CTC_51.ply,1 unit = 1mm,499976,0.102862,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_52,Castelcivita,gic,Fine-grained chert,Tool,Flake,Optimal,NA,0%,Complete,1484.35,966.75,25.79999924,19.20000076,9,CTC_52.ply,1 unit = 1mm,239152,0.102906,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_53,Castelcivita,gic,Coarse-grained chert,Tool,Flake,Maintenance,NA,0%,Complete,9285.22,3232.63,45.79999924,33,18,CTC_53.ply,1 unit = 1mm,300000,0.166447,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_54,Castelcivita,gic,Fine-grained chert,Tool,Flake,Optimal,NA,0%,Distal,3460.93,1935.14,36.59999847,28.29999924,8.5,CTC_54.ply,1 unit = 1mm,300000,0.127522,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_55,Castelcivita,gic,Quartzite,Tool,Flake,Optimal,NA,0%,Complete,3153.69,1743.92,41.40000153,21,7.599999905,CTC_55.ply,1 unit = 1mm,460782,0.096503,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_56,Castelcivita,gic,Fine-grained chert,Tool,Flake,Optimal,NA,0%,Distal,2902.07,1629.23,33.09999847,25.20000076,8.199999809,CTC_56.ply,1 unit = 1mm,300000,0.113569,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_57,Castelcivita,rsa',Fine-grained chert,Tool,Blade,Optimal,NA,0%,Distal,962.74,1016.15,30.39999962,17.39999962,4.199999809,CTC_57.ply,1 unit = 1mm,246178,0.103492,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_58,Castelcivita,rsa',Fine-grained chert,Tool,Blade,Maintenance,NA,1-33%,Distal,3998.59,2471.28,47.29999924,24.29999924,5.900000095,CTC_58.ply,1 unit = 1mm,300000,0.143567,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_59,Castelcivita,rsa',Fine-grained chert,Core-Tool,Flake,Optimal,Carinated,0%,Complete,6535.8,2124.25,30.20000076,35,18.70000076,CTC_59.ply,1 unit = 1mm,500000,0.102012,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
