ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
Ca_323,Cala,AU13,Chert,Core,Other,Other,Narrow-sided,0%,Other,2715.776367,1352.421438,22.60000038,18.20000076,24.29999924,Ca_323.ply,1 unit = 1mm,343964,0.101654,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_324,Cala,AU12,Jasper,Core,Other,Other,Semi-circumferential,1-33%,Other,6238.23877,2187.719264,24.29999924,34.29999924,28,Ca_324.ply,1 unit = 1mm,560666,0.100612,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_325,Cala,AU12,Chert,Core,Other,Other,Initial,66-99%,Other,40014.88672,6895.884934,53.70000076,47.29999924,34.79999924,Ca_325.ply,1 unit = 1mm,600000,0.173779,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_326,Cala,AU12,Chert,Core,Other,Other,Bipolar,0%,Other,13187.59277,3628.112667,48.59999847,24.10000038,19.89999962,Ca_326.ply,1 unit = 1mm,600000,0.124001,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_327,Cala,AU12,Jasper,Core,Other,Other,Bipolar,33-66%,Other,4103.523926,1811.343647,34.90000153,19,10.60000038,Ca_327.ply,1 unit = 1mm,477220,0.100434,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_328,Cala,AU12,Chert,Core,Other,Other,Shatter,1-33%,Other,3524.308105,1493.98058,32.79999924,18,13.89999962,Ca_328.ply,1 unit = 1mm,385224,0.10081,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_329,Cala,AU12,Jasper,Core,Other,Other,Parallel,33-66%,Other,10245.92285,3258.220686,44.29999924,36,15.80000019,Ca_329.ply,1 unit = 1mm,600000,0.117611,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_33,Cala,AU12,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Complete,6283.228027,2141.225346,20.60000038,37,27.39999962,Ca_33.ply,1 unit = 1mm,300000,0.135347,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_330,Cala,AU12,Siliceous limestone,Core,Other,Other,Discoid,33-66%,Other,15253.05371,3449.83888,35,38.09999847,25.89999962,Ca_330.ply,1 unit = 1mm,600000,0.121332,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_331,Cala,AU13,Chert,Core,Other,Other,Multidirectional,33-66%,Other,18277.73828,4259.055774,43.59999847,38.20000076,25.79999924,Ca_331.ply,1 unit = 1mm,600000,0.135039,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
