"ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification"
"RB_595","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","1-33%","Other",8445.05957,2570.475957,31.2000007629395,27.3999996185303,18.2999992370605,"Shatter"
"RB_596","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",3313.286865,1372.930439,20.7999992370605,19.2000007629395,15,"Multidirectional"
"RB_597","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",3941.932861,1685.02946,30.7999992370605,21.1000003814697,13,"Multidirectional"
"RB_598","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","33-66%","Other",3056.79541,1440.802123,35.9000015258789,16.6000003814697,11.5,"Multidirectional"
"RB_599","Artec.Spider","A2","Chert","Core","Flake","Semi-cortical","1-33%","Other",6804.045898,2486.629027,31,33.5999984741211,15.1999998092651,"Shatter"
"RB_600","Artec.Spider","A0","Chert","Pebble","Other","Initialization","100%","Other",5405.320801,1780.929335,34.2999992370605,19.8999996185303,17.3999996185303,NA
"RB_617","Artec.Spider","A0","Chert","Tool","Blade","Optimal","0%","Proximal",3764.456543,2196.869636,63.9000015258789,27.6000003814697,8.10000038146973,NA
"RB_618","Artec.Spider","A0","Chert","Tool","Blade","Initialization","100%","Distal",2788.566895,2055.994659,NA,29.2999992370605,5.09999990463257,NA
"RB_619","Artec.Spider","A0","Chert","Blank","Flake","Maintenance","0%","Proximal",3947.761719,1727.452256,29,32.5,10.6000003814697,NA
"RB_620","Artec.Spider","A0","Chert","Core-Tool","Flake","Optimal","0%","Complete",2346.773438,1096.469377,13.6000003814697,20.5,22,"Carinated"
"RB_621","Artec.Spider","A0","Chert","Core-Tool","Flake","Undetermined","0%","Complete",3289.254639,1501.963767,36.7000007629395,18.1000003814697,13.1000003814697,"Carinated"
"RB_1017","Artec.Spider","A1","Chert","Tool","Flake","Semi-cortical","33-66%","Complete",1947.456543,1300.744373,32.7999992370605,23.2999992370605,6.59999990463257,NA
"RB_1018","Artec.Spider","A1","Chert","Core-Tool","Flake","Semi-cortical","1-33%","Complete",3113.247559,1433.987989,24.8999996185303,29.7999992370605,13.3000001907349,"Carinated"
"RB_1019","Artec.Spider","A1","Chert","Tool","Flake","Semi-cortical","1-33%","Complete",2461.895752,1376.268662,32.0999984741211,23.2000007629395,8.60000038146973,NA
