ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RB_1152,Bombrini,A2,Chert,Core,Other,Semi-cortical,Tested,1-33%,Other,6907.495605,2457.686571,38,24,19,RB_1152.ply,1 unit = 1mm,770734,0.091945,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1156,Bombrini,A2,Chert,Core,Flake,Semi-cortical,Platform flake,33-66%,Other,6022.821777,2286.837925,23.70000076,38.5,13.19999981,RB_1156.ply,1 unit = 1mm,721678,0.091487,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1157,Bombrini,A2,Chert,Core,Other,Other,Multidirectional,0%,Other,7343.620605,2315.260181,26,28,21.70000076,RB_1157.ply,1 unit = 1mm,744834,0.091007,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1160,Bombrini,A2,Chert,Core,Flake,Initialization,Platform flake,100%,Complete,7928.59375,2856.99274,41.70000076,39.20000076,14.19999981,RB_1160.ply,1 unit = 1mm,800000,0.096398,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1162,Bombrini,A2,Chert,Core,Other,Other,Shatter,0%,Other,4909.080566,2119.379724,27,28.39999962,13.30000019,RB_1162.ply,1 unit = 1mm,656478,0.092286,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1164,Bombrini,A2,Jasper,Core,Undetermined,Undetermined,Bipolar,0%,Undetermined,1131.302002,656.205167,17.60000038,9,18.20000076,RB_1164.ply,1 unit = 1mm,192824,0.094057,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1168,Bombrini,A2,Chert,Tool,Flake,Semi-cortical,NA,33-66%,Proximal,3547.093506,1673.137811,29.10000038,28.79999924,13.10000038,RB_1168.ply,1 unit = 1mm,533378,0.091378,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1183,Bombrini,A2,Chert,Tool,Other,Other,NA,0%,Other,805.6209106,578.4245842,20.5,6.400000095,12.10000038,RB_1183.ply,1 unit = 1mm,139718,0.10357,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1247,Bombrini,A0,Chert,Core,Other,Semi-cortical,Initial flake,33-66%,Other,4749.35498,1787.334134,19,29.20000076,24.79999924,RB_1247.ply,1 unit = 1mm,574034,0.091098,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1249,Bombrini,A0,Chert,Core,Other,Other,Shatter laminar,0%,Other,1277.501831,745.9641015,13.69999981,17.79999924,17.89999962,RB_1249.ply,1 unit = 1mm,195248,0.101437,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1258,Bombrini,A0,Jasper,Core,Other,Other,Bipolar,0%,Other,684.1730957,513.4398237,18.5,11,12.39999962,RB_1258.ply,1 unit = 1mm,156306,0.092752,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_344,Bombrini,A1,Chert,Core,Other,Other,Bipolar,0%,Other,2605.665771,1167.434102,25.39999962,17.10000038,12.10000038,RB_344.ply,1 unit = 1mm,303592,0.101056,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_345,Bombrini,A1,Chert,Tool,Blade,Maintenance,NA,1-33%,Complete,16853.43164,6075.449806,89.80000305,34.90000153,14.19999981,RB_345.ply,1 unit = 1mm,1562068,0.101739,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_346,Bombrini,A1,Chert,Tool,Flake,Optimal,NA,0%,Distal,4873.913574,2125.669991,NA,42.09999847,11.10000038,RB_346.ply,1 unit = 1mm,495496,0.10531,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_347,Bombrini,A1,Chert,Tool,Flake,Initialization,NA,66-99%,Complete,4610.561523,1792.924788,33.20000076,26.10000038,11.89999962,RB_347.ply,1 unit = 1mm,451464,0.102072,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_349,Bombrini,A1,Chert,Tool,Flake,Maintenance,NA,0%,Complete,2032.089844,1188.645417,34.59999847,18.20000076,7.599999905,RB_349.ply,1 unit = 1mm,295428,0.102951,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_350,Bombrini,A1,Chert,Tool,Flake,Semi-cortical,NA,1-33%,Complete,4091.886475,1609.32078,23.60000038,32.59999847,12.69999981,RB_350.ply,1 unit = 1mm,380252,0.104612,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_351,Bombrini,A1,Chert,Tool,Blade,Maintenance,NA,0%,Complete,3027.382813,1789.920347,50,19.79999924,8,RB_351.ply,1 unit = 1mm,431458,0.103949,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_352,Bombrini,A1,Chert,Blank,Flake,Maintenance,NA,1-33%,Complete,6229.114746,2666.756021,42.40000153,31.70000076,15,RB_352.ply,1 unit = 1mm,687004,0.101461,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_361,Bombrini,A1,Chert,Tool,Flake,Optimal,NA,0%,Complete,840.753479,587.0009387,17.29999924,15.39999962,6.900000095,RB_361.ply,1 unit = 1mm,145404,0.102976,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_409,Bombrini,A1,Chert,Core-Tool,Flake,Semi-cortical,Carinated,33-66%,Other,1753.108521,942.4136989,16.79999924,9.5,26.60000038,RB_409.ply,1 unit = 1mm,247048,0.100733,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_437,Bombrini,A2,Chert,Tool,Flake,Other,NA,0%,Undetermined,1123.749634,772.5960807,23.5,7.5,15.80000019,RB_437.ply,1 unit = 1mm,191416,0.103019,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_438,Bombrini,A2,Chert,Tool,Flake,Semi-cortical,NA,33-66%,Complete,1645.816284,1132.695777,32.5,18.39999962,7.900000095,RB_438.ply,1 unit = 1mm,287528,0.101725,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_440,Bombrini,A2,Chert,Tool,Flake,Semi-cortical,NA,1-33%,Distal,9014.158203,3289.646056,50.5,34.40000153,15.10000038,RB_440.ply,1 unit = 1mm,600000,0.118545,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_443,Bombrini,A2,Chert,Tool,Flake,Optimal,NA,0%,Distal,1462.643311,916.8534012,NA,22.70000076,8.600000381,RB_443.ply,1 unit = 1mm,229354,0.102565,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_444,Bombrini,A2,Chert,Tool,Flake,Initialization,NA,0%,Distal,2942.933594,1331.849385,21.70000076,27,13.80000019,RB_444.ply,1 unit = 1mm,343508,0.101471,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_449,Bombrini,A2,Chert,Tool,Flake,Optimal,NA,0%,Complete,7398.417969,2864.320484,45.5,31.39999962,13.80000019,RB_449.ply,1 unit = 1mm,600000,0.111383,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_453,Bombrini,A2,Chert,Tool,Blade,Optimal,NA,0%,Proximal,696.8223267,574.7589948,NA,13.80000019,6.099999905,RB_453.ply,1 unit = 1mm,140000,0.103516,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_484,Bombrini,A2,Chert,Tool,Flake,Optimal,NA,0%,Complete,2041.700439,1276.624502,34.70000076,19.5,8,RB_484.ply,1 unit = 1mm,323604,0.102582,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_485,Bombrini,A2,Chert,Tool,Bladelet,Maintenance,NA,0%,Complete,636.4799194,625.2710434,33.59999847,9.199999809,4.699999809,RB_485.ply,1 unit = 1mm,161438,0.101284,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_486,Bombrini,A2,Chert,Blank,Bladelet,Initialization,NA,1-33%,Complete,1791.476685,1366.644923,51.29999924,11.39999962,9.300000191,RB_486.ply,1 unit = 1mm,343826,0.102173,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_558,Bombrini,A1,Chert,Core-Tool,Other,Semi-cortical,Carinated,33-66%,Other,30753.66992,6468.583046,28.79999924,36.29999924,63.20000076,RB_558.ply,1 unit = 1mm,599876,0.166739,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_559,Bombrini,A1,Chert,Core,Other,Other,Multidirectional,0%,Other,19198.46094,4410.867148,48.79999924,38.20000076,27.10000038,RB_559.ply,1 unit = 1mm,600000,0.137084,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_560,Bombrini,A1,Chert,Core,Other,Semi-cortical,Semi-circumferential,1-33%,Other,31921.19922,6144.988409,36.79999924,31.60000038,45.79999924,RB_560.ply,1 unit = 1mm,600000,0.162982,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_561,Bombrini,A1,Chert,Core,Other,Semi-cortical,Semi-circumferential,1-33%,Other,22038.07227,4587.596141,41.90000153,37.40000153,35.20000076,RB_561.ply,1 unit = 1mm,600000,0.140302,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_562,Bombrini,A1,Chert,Core,Other,Semi-cortical,Multi-platform,1-33%,Other,10776.55859,2935.602394,30.39999962,22.29999924,31.39999962,RB_562.ply,1 unit = 1mm,600000,0.112141,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_563,Bombrini,A1,Chert,Core,Other,Semi-cortical,Semi-circumferential,1-33%,Other,12776.66895,3272.363318,29.60000038,30,38.40000153,RB_563.ply,1 unit = 1mm,600000,0.118404,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_564,Bombrini,A1,Chert,Core,Other,Semi-cortical,Initial laminar,33-66%,Other,7987.208984,2604.408616,30.5,37.20000076,24.60000038,RB_564.ply,1 unit = 1mm,600000,0.106467,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_565,Bombrini,A1,Chert,Core,Other,Semi-cortical,Multidirectional,1-33%,Other,7119.359863,2264.130136,31.79999924,28.10000038,16.70000076,RB_565.ply,1 unit = 1mm,600000,0.100291,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_566,Bombrini,A1,Chert,Core,Other,Semi-cortical,Wide-faced flat,33-66%,Other,6535.176758,2164.267155,31.70000076,36.70000076,13.60000038,RB_566.ply,1 unit = 1mm,576568,0.100312,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_567,Bombrini,A1,Chert,Core,Other,Other,Semi-circumferential,0%,Other,3759.762451,1449.142317,19.79999924,25.10000038,20.29999924,RB_567.ply,1 unit = 1mm,375568,0.101435,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_568,Bombrini,A1,Chert,Core,Other,Semi-cortical,Narrow-sided,33-66%,Other,5683.362305,1904.672487,32.09999847,21.29999924,19.5,RB_568.ply,1 unit = 1mm,489138,0.10152,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_569,Bombrini,A1,Undetermined,Core,Other,Other,Wide-faced flat,0%,Other,4359.668945,1739.708255,28.29999924,23.89999962,14.39999962,RB_569.ply,1 unit = 1mm,452106,0.101128,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
